Sentiment,Text,Label,Prediction
4,Why Hillsdale College is better than Harvard....   http://bit.ly/16RBsz According to the Wall Street Journal,1,1
0,Damn.  It just hit me - this is the first year Avery's not around to eat carrot cake.,0,0
4,Just got up but still tired lol,1,1
4,@rowent Yes she did! How sweet  what nostalgia...,1,1
4,"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on",1,1
4,@Delolida that was totally one,1,1
0,Finally found the cinema. Took much longer than it should have. Missed screening. An hour till the next one.,0,0
4,@RayBeckerman you're welcome,1,1
4,"@justgeorgeaz haha If you stumble across a time machine, I hope you can visit my '84 self and offer me your kind insight!",1,1
0,@b_club How in the world are you? I miss you !,0,0
4,sitting down,1,0
4,Oh and btw... Magic are going to the Eastern Conference Finals!!!!!,1,1
4,@dingo1952 nasty works... shoot,1,0
0,"@grooveworksENT Yo my bad, my AIM crashed!",0,0
4,@acoolong find @mcbradd. Hes my buddy and hes awesome. his hair should give him away,1,1
0,Event in office.. Music quiz.. My partner didn't show up so Im the audience now,0,0
4,its Sea Patrol Time Kids  lets all watch it! (been waiting for this to happen for weekkss),1,1
0,@JonathanRKnight  it's very sad. may they rip!,0,0
4,Celebrating one year of living in sin.  We're going for an anniversary dinner at a new (to us) Japanese restaurant - Zakkushi on 4th Ave.,1,1
4,@livingartist @EvolveWell such a pleasure to know you both!,1,1
0,says BAD TRIP! (angry)  http://plurk.com/p/wxshi,0,0
0,"@batmanspanties that's not healthy, lady.  have you been to a doc?",0,0
0,i'm piss that every thing is always about money......... The kids should matter first,0,1
0,@Brieannnn it dropped out again,0,0
0,@HaydenHenotic OMFG! How can you be late on your last ever day? It's important.  xo,0,1
0,headache headache headache !!,0,0
0,Me no want to go to 4h..,0,0
4,netball today,1,1
4,Slidin to go see Up today Im soooo excited!!!Im such a big kid,1,1
4,@ninamodi have a safe trip  look forward to meeting you in mumbai.. you got my number right..,1,1
4,@Chopperboss Massenutten! Have a great time. Too bad it's a little early for skiing.,1,0
4,shawn and mark are safe!!!  ya ya ya ya ya ya!!!    but who is going home?!?!?  melissa or ty?!!!???!,1,1
4,"@maxmoriss ÐÐ¾Ð³Ð¾Ð²Ð¾ÑÐ¸Ð»Ð¸Ñ?Ñ, Ð²Ð¸Ð´Ð°ÑÑ!",1,1
4,"My prayer 4ALL My Tweeples Is For You To Be Filled w/His Love, Peace &amp; Joy!  Be Well &amp; Be WAY BLessed 2day&amp; EveryDay!! KeepEyes:UP UP UP!",1,1
4,@MzLaffy Don't we all?,1,1
0,"is really bored, and fed up with boys treating her like crap. all i want is for someone to love me for who i am     x",0,0
0,Hey...that was mean... I am going to cry now.,0,0
0,"@devinewilliam haha. melbourne was fun, i'm so annoyed to be home, just makes me realise how shit adelaide really is",0,0
0,"cant stop coughing, its 2.30am and i had to get up cause i cant sleep,can hardly breath  feels like im gonna die or stop breathing ahhh",0,0
4,http://melodymaker.co.za/ Latest blog post - comments? investigating Straight Edge. No its not due to a hangover from #wine show yest!,1,0
4,@mileycyrus YAY HANNAH MONTANA IS NOT ENDING  haha,1,1
4,"very excited for PRAUM today. not &quot;prom&quot;, but PRAUM.",1,1
0,Could anyone write this stupid letter for me?,0,0
0,@lisaloeb4real I feel as though you have had really bad luck when it comes to american airlines,0,0
0,nooo my friend mehreen is leaving in like two week and i really dont want her to go,0,0
4,The First Cut is the Deepest by Rod Stewart  http://adjix.com/a467 - I love you Rod!,1,1
4,@willaokati I say go for it. Pretty sure he won the audio book award for its category,1,1
0,I almost died and you don't even care. Sadness.,0,0
4,Always a favourite....    'U2 â Get On Your Boots' â« http://blip.fm/~8a0ob,1,1
0,"where the fuck are my summer heights high dvds, i've looked everywhere. argh this is depressing.",0,0
4,#smcsyd 1st social event I've been to that plays live twitterfeed. Feel for u guys up there - scary!! U doing gr8 job tho. Go u,1,1
4,"@johnloyola..lovely to meet you, you are awesome",1,1
0,i am not-so-happy,0,1
4,"again behind my schedule but then, had lots of fun, my team won, i watched the movie Gran Torino and went to a concert afterwards",1,1
0,last night with my kids,0,1
4,@epitomeofme Oh and just FYI the &quot;I miss you too&quot; was directed at you...,1,1
0,"Japan is treating me good as of now...don,'t know how long",0,1
0,"@OdotAllen, but I can't IMAGINE seeing cr in the booth tonite on that track.",0,1
0,Being a quitter is easy. Unless you're talking about smoking. Been more than 3 months &amp; I still want to smoke sometimes.  Does it end?,0,1
4,Had I awesome day today. I did a check in yay and  Dinner was a smash! Well here come the Bride. I am looking forward to tomorrow,1,1
4,@bellissimatina You can do it!,1,1
4,Extra hungry! Cant wait to eat!,1,1
4,On my way to my brothers game  http://twitpic.com/3jrqm,1,1
0,"@uncubicled  The things I wouldn't miss if I were #uncubicled  the clang, clang, clang of the (telephone) bells",0,1
4,@IrishLad585 Search for it &amp; twitpic it,1,1
4,Good morning y'all!  Eek! Had to re-design site this morning ... all done! Phew! Now to catch up on twitter  *hugs to all*  Missed you!,1,1
0,"@taylorswift13 I wish I could come tonight, but i couldn't get tickets",0,0
0,Turnout for #eu09 down an average of 35% in europe and the UK. As a result a strong movement to the right is visible in the results.,0,1
4,@brarno ask @applefanbe how he got his BB,1,1
0,@artonfire theres some in the  hallway closet  lots of em,0,1
4,Just 8 more hours until the long weekend begins  Yay!,1,1
0,New want: a chanel scarf,0,1
0,@amyshell the smooth talker deserves more den jus typed 'x'es,0,1
4,@arcopolc you know you are good looking,1,1
4,@bradiewebbstack no matter what you do bradie there will always be a place for you in my heart.,1,1
4,"@xconway Knowing when to let go is important, isn't it?",1,1
0,@LeahMOB I need to cop the MOB x KAWS bathing suit for my birthday beach day. helpp meeeeee,0,1
0,@ErinSchmidt Oh chickie.  *hugs* That sucks royally!,0,0
0,Wtf my phone is spazzing out!  touch part is all screwed up!,0,0
4,They kicked me out early... lol! Btw... Monster Java Chai Hai is AMAZING!!!,1,1
4,My schoolmates all sing happy birthday now...I'm so excited  I think I'm gonna like today,1,1
4,"@andrewfaith sorry, old Habits are hard to break",1,0
4,@jennreese Ooo I want to see your rearrangement   Somehow when I move furniture around it doesn't have quite the same effect...,1,0
4,;) July Flowers (July 2009) #Holiday,1,1
0,I need Kate online,0,0
0,@LDoi are there any strawberries left for me?,0,0
0,wanna wear my new kate moss dress today but might be too cold.,0,1
0,"According to the weather network, my bikini + tan hopes have been dashed. It's supposed to rain all weekend.",0,0
4,kings of leon scheduled to perform,1,1
4,@jarsofclay  I Love Love LOVED my special edition set. I'm pretty stoked about it! And I liked that the invoice called me a superfan,1,1
0,"@SomeKuwaitiya LOL mako all names r taking i've been trying since this after noon!  ,",0,0
4,Finally putting up my blik stickers I purchased ages ago. Maybe I'll take a pic if it looks good  http://www.whatisblik.com/,1,1
4,@sbarton1220 maybe they are evac the area,1,1
4,@e_diva as always  coffee? cookies?,1,1
4,@JohnNoonan it was mentioned in our point by point roundup! we can't wait to learn more about it so we can write JUST about crackdown 2,1,1
4,Pinjam pocket doraemon bleh? @nazra: @xmellyssax@WoNoJo @snufsnuf need a really big pocket lah itu mcm,1,0
4,"@KatieKrafka @Tifanei reading your tweets makes me want to send you both wine and chocolate today. chins up, ladies!",1,1
4,@MitchellSTL I did once I finally went to bed.,1,1
4,little black dress,1,1
0,Sooo tired! I need coffee or something.. Still have a headache. I think my neck is out,0,0
0,@tommcfly Hi Tom! How are you? - please tweet back. just to make my day..,0,1
0,@sweeetnspicy lol im good with my david cook icon...well im on my way to school,0,1
4,http://twitpic.com/6b5ve - my toenails from my pedicure today.,1,1
0,The DH leaves for Austin tomorrow.  I'm kinda bummed about that.    I'm gonna stay home and knit.  Did find some pretty good yarns.,0,0
0,why has this client bug not been fixed yet?  I actually got quite into twitter clients haaaa,0,0
4,I tied for second in puerto rico with 45 pts.  Ross won with 46. Fucker,1,1
4,@KT_93 old enough  lol you??,1,1
0,Uh on record for may it says i've only sold one post paid phone. I'm definitely on the hotlist now.,0,0
4,bebe is having a sale 65% off. @RosaPerez lets go!,1,1
0,disappointed to forgo cooking workshop for pathetic swollen eyes,0,0
0,@Sazramsay ah ok. i think sadly i am working at night time  but i shall see what i can do.,0,0
0,eww! he messed up mi window media player....thanks alot,0,0
0,time passes by too fast  STUDY TIMEEE,0,0
0,Why do i not get device updates but @NATTEH does?,0,0
4,that is why my Ipod will come in handy,1,1
4,@tezzer57 I took the liberty of getting u a bacon sandwich aswell,1,1
0,I have a feeling I wont be able to go to the show June 12.,0,0
0,has a FAT headache,0,0
0,I need to have an antivirus software.  FAST.,0,0
4,@sambennington http://twitpic.com/6b8tr - You both have amazing dresess! Gimme those  What brands they are? Hope you had a great time.,1,1
0,My phones playin up,0,1
4,@RealBlackWidow yes it is addictive,1,1
0,ugh why did i make this peanut butter bagel? ughhhhh life is not good,0,0
0,"Omg, I thought we were going to find out the Janitor's name on Scrubs  Disappointment",0,0
0,I think I killed the tadpoles. By accident,0,0
0,In the car with wanda..going to school..,0,1
4,Just checked on my ladies and they are looking good,1,1
0,A quick google tells me that M&amp;S closed all Canadian stores in 2000: http://bit.ly/vfNxN. Le sad,0,0
4,"@lyndalcairns Ah, you know your mum isn't into bongs. Red wine, yes ... but not the evil weed. But you should make your bed, anyway",1,1
4,@marion01 Sweet. How are you drunkie,1,1
0,"@Tommrob awful today, unfortunately... extremely hung over  you?",0,0
4,Switched rooms at work. Finally some space,1,1
4,warm fuzzies,1,1
4,"@ginaaaxmarieee hahaha nice. Well im gonna bbe going to bed so good night, aslo goodnight zak if ur still on",1,1
4,"@justinmgaston Sorry Justin. U may be a nice guy, but u cannot stop destiny. NILEY .... Forever ....for Always.... for LOVE",1,0
0,wishes someone could whisk me away from all this studying  xxx,0,0
4,@lilymalcolm well they must be good lol you might have too,1,1
4,In spokane almost to the mall,1,1
0,@JonGDaDon yeah but u putn out 400$ for a phone that costs 150 - 200$ n u can't put a 10 $ car charger in there?  jus fucked up,0,0
0,@ElizaPatricia Dollhouse appears on Emmy ballots in several categories.  Congrats to you! Didn't see all ballots.  Where is Tudyk?  #Emmys,0,0
4,@sergeantkero you're welcome!,1,1
0,@belgium11r you can come cut our grass - we'll throw ya some cash to do it - wes is still in pain,0,0
0,I'm in the bed not feeling so well,0,0
4,"(via @spam) TheSmartECard.com isn't a virus; it's just a scam/phishing site.  Don't go to it, don't give it your personal info.",1,1
0,Hungry and my mama won't cook me no breakfast,0,0
0,It is so fucking cold. Bring on Singapore,0,0
4,@addiiee Addieeee  heyyy . what's up?,1,1
4,Update on the Beagle Starr at the FWACCC. She has been adopted and is right now enjoying a beautiful Sunday with her new family!,1,1
4,@ajetha Well there are a billion people in India who call this &quot;hockey&quot;. http://tr.im/nFw9  More of them than us. Guess we should change,1,1
0,new to this,0,1
0,@DharmaDuck Thank goodness for that. Me? Normal? Never..... No sleep  Now photo editing....Joy,0,1
4,@MoosejawMadness A sweet twitter contest would be to write the rest of the opening scene. Give away a gift card or something,1,1
0,"Why, when you go on vacation...is there a sudden &quot;oh, I don't have anything to wear&quot; shopping spree?",0,0
4,@Impala_Guy Heeeey my little sunshine  How r u? HAPPY to c u ))))),1,1
4,@LESBIANATION  hey there hun!!!! I have missed seeing you lately,1,0
4,Gonna have @jeeeslouise @dannymunsturr @tomcoco @hampiee @richiedigs and maybe @indiexandy and @stone_er over for movie/wii night. Yay!,1,1
4,can i steal you for a minute? ....can i steal you....,1,1
4,@wolfduo How was your first day,1,1
4,"Hummm. Now at 17 followers on Twitter. Need one more to out follow Grumpyboy. Come on friends, see your peeps to smartgurlca on Twitter.",1,1
4,"Actually loved work today  ----excited to go back tomorrow. OH! And get a fabulous discount at old navy, gap, &amp; banana republic! Yayayay!",1,1
4,KayCeeStroh from High School Musical just tweeted me!!! Coolness~~~,1,1
0,my head hurts,0,0
0,Noah's Ark=over  tired and burned. NOT good!!!!!!!! lol jk jk,0,0
0,"I'm so tired, but I can't sleep.",0,0
4,About to convince more people to watch twilight  Just trying to spread Edward Fever,1,1
0,Flu affects your performance badly. Cos i know out of experience now,0,0
0,Em is spending the night with her friend; just texted she wants to come home,0,0
4,Chilling out afer a busy day yesterday,1,1
4,I got the complete 4th season of &quot;FRIENDS&quot; on DVD this Saturday!  Who dosen't like &quot;FRIENDS&quot;.... It's friggin' HILARIOUS! â¥,1,1
0,"@chrismcfeely You watch dubs?! You disappoint me, McFeely.  I know what you're saying about not being able to understand the subtleties...",0,1
4,"Beach party later, at least the weather is nice",1,1
4,@orangy68 me too,1,0
4,got home not too long ago from a girls night out w/one of my bf's.. the movie &quot;Hangover&quot; was too funny.. good recommendation Chris!,1,1
4,@raincoaster Where is Obama on this list..lol,1,0
4,@urijahfaber keep your head up. You will get another shot at &quot;YOUR&quot; belt. Maybe you will have a steel plate in your right hand next time,1,1
4,@gewoonlianne And I just joined your spymaster game from my work pc,1,1
4,Hows everyone doing today?,1,1
0,"Missed tonight, wish they had AI on DVR",0,0
0,@lynnali2 Enjoy the sun tis raining again now,0,1
4,Just Made a Sandwich Yum!,1,1
0,"U Radio 107.9 FM is down again, or at least the audio stream at http://ping.fm/jGmPo",0,0
4,Tsukasa with Pat and Jeff yumm,1,1
4,@OfficialJoBros - ahhh is it really you guys  jess and ashleigh xx,1,0
4,@CraigBrake If I could be anything I would be a cat. They know how to get everyone to do things their way,1,0
4,Waiting at MSP for my first leg of my trip. Already missing Murphy and the fam!  #fb,1,0
4,@ebassman lol....dang dang dang di dang di dang...Bass man! We'll be back in the flesh in 2 weeks to bring the party back,1,0
4,"Still listening to AMERICAN GODS, it's a lot longer than I remember. I think it'll take three nights to finish, so tomorrow night",1,1
4,@mileycyrus That's seriously awesome!,1,1
0,"goodnight, David Carradine.  i never got to grab the pebble from your hand.",0,0
0,"keep getting distracted. the weather outside is great, yet i'm stuck revising for 5 exams which are spread over a whole month",0,0
0,@UnknownFotos I know. But I cant do anything abt i.,0,0
0,"critical mass chicago was okay last night, front of pack too fast made problems as cars raced into gaps; also, all route was old hat",0,0
4,"@OfficialBale well, it's 5am where u r now, but it's 11pm central time in the US",1,0
0,Can somebody send me and @ reply or direct message or something? Im so bored,0,0
0,heading to work.. ughh its going to SUCK,0,0
4,"@whereivebeen Las Vegas, of course... but I'm a bit partial!",1,1
4,uploading images to the web... yep Listya &amp; Hendik... not long to go,1,0
0,So drunk I love erin so much for riving us. Mark is drunk and going to lick my face,0,1
0,"@Nevidge20 Nevidge, if I start walking now I can get there on time...but it is that dang water that will create a problem",0,1
0,"Leptop crash, bootnya ke recovery mode thinkvantage, ga bisa dipaksa normal.",0,0
4,@Tswizz I love your new canvas,1,1
0,@EDDIEKLIVE I wish I had an iPhone,0,0
0,"@NudeyRudey P's molars are coming in, he slept til 11am on Sat morn and then napped in the avo, not really eating and it looks very sore",0,0
0,is lonely and doesnt want to be sick anymore!,0,0
0,@LeviBeamish I'm from NZ but can't go to the gathering,0,0
0,on the way back to tally ho. damn its hot. still wishin my car wasn't broke,0,0
4,"@Musicizmiilyfe lol, yeah i could TRY but i don't do many of those!",1,1
4,&quot;I won't forget you Brazil&quot; @ddlovato you're amazing! We won't forget you too! Can't wait to see you again,1,1
4,Woke up.,1,1
4,@skinnermike Skinner you fucking GOD!Enuff respect for you,1,1
4,James Perse launch in Malibu with a D.Rocket performance. Dinner at Madeos and drinks at Chateau. Social circles overlapping happily,1,1
0,Just got home from 3 soccer games. My son is playing up an age level 3 v3 soccer. They lost all 3 games.  But he had fun playing.,0,0
0,"My left sinus,ear, and gums are infected...i shall call myself pus face",0,1
4,"at a beautiful wedding, photographing some beautiful people",1,1
0,last day of school 2morrow,0,0
0,@thefrenchbandit awwww sorri about ur cat,0,0
0,@mmmBrie Yes. Work.  But let me know if you're up for margarita mass on Sunday evening.,0,0
4,@joycescapade Hi there. You should book tickets online. Much value for money!,1,1
0,"I've been cleaning the house all day, I'm so tired and sweaty  It's so hot here it's gross. FML",0,0
0,@Rhiarti I fell asleep before the laptop did,0,0
0,"School run in 15 mins, then off to get more stock for Saturday. Money will be gone before I know it",0,0
4,ï¿½/ chegay ao mundo Twitter,1,1
4,"Im going now, got an hour detention after school, see you around 5",1,1
4,@jaundrew this is what happens when my phone won't auto correct your name.,1,0
0,@annika would love to -- but unfortunately i am not there today -- at work,0,0
0,stupidly didn't move fast when they asked for volunteers to change flights. Could have used that $350 for DragonCon.,0,0
0,Damn it dodgers  so close at the end... its all good. still love ya!,0,1
4,@sincereapology hehe lol well anyways welcome back,1,1
4,"Prolly goin out 2nite, yay! Gonna see No More Goodbyes &amp; my Lou Lou!",1,1
4,@Audrey626 I CANNOT wait to see you in two weeks!! It is going to be so much fun!!,1,1
0,@ahhhdy OMG I totally feel the same way.,0,0
4,@wbm no context 140 chars is not enough for a good setup,1,0
4,@BitchGrenade love creeps who steal your seat and ask you to sit on their lap! i had fun tonight,1,1
4,watching Supernatural love tha show!!! omg dean n sam are so bloody sxc  they can lay there shoes at tha end of my bed any day lol,1,1
4,"Good weather. Home cooked food. I guess there's worse things tomorrow, so I better enjoy this.",1,1
0,"@dailybooth is it just my phone, or is there a lag with the mobile uploads? mine don't seem to be appearing",0,0
0,"Feels like crap after having to tell the girls soccer team that I coach, that I won't be returning next season",0,0
0,@tracymacy  thanks hun. My appointment isn't until 2pm but we have to travel an hour to get there. I hope you're feeling better soon,0,0
4,@portorikan I was a long time Palm user. I was wanting an iPhone but I think I'll get a Pre... when the next version comes out.,1,0
4,@BossLadiToya Thank you!!!  and Good night to you.,1,1
0,says my karma went down cos I didnt plurk yesterday  http://plurk.com/p/xjyi6,0,0
4,No Games by Serani!!!!!! Best tune out!!!,1,1
4,"Speaking about Reach Them to Teach Them tonight...as God blesses, the calendar fills.",1,1
0,"@BonesFan021 I will be, but later in the year, or early next year! My friend isn't in LA when i wanted to visit",0,0
0,"@Justinsceneable I tried those onn, I look bad in them",0,0
4,It's such a Nice day out- kinda chill but sunny- wierd huh. I'm gonna finish doing my stuff inside and then enjoy the nice weather!!,1,1
0,is watching Bay Area Derby Girls play Seattle's team! Exciting and close game so far.. I miss seeing Miss Moxie jam though.,0,0
4,excited to start my new job tomorrow,1,1
4,"is heading to work, what a beautiful day! note to clients, please don't fuck this day up for me",1,0
0,@HadoukenUK Good Luck.. Wish I was there,0,0
0,not going to the meet or to the met game  but the streets smell like charcoal &amp; hot sauce so some where there's a vegdog w/ my name on it!,0,0
4,"@HumanGoogle Ah, well...I didn't know that. Ask a stupid question...",1,1
0,"says morning folks, I am going to work now  http://plurk.com/p/xu4br",0,0
0,"@Blend_Master5 it's just been one of those weekends and I've been very emotional all weekend...ugh, I hate it",0,0
4,@MarthaVan Maybe I can get a job there!,1,1
0,"I think my heart is worn out, no more please",0,0
0,"Anything under ï¿½250 doesn't need a receipt, absolutely scandalous  #mpsexpenses #dispatches",0,1
4,"nothing wrong with gayness, I love my lover boy.  The Rey de me Soul.",1,1
0,"Watching the news this morning and thinking, if we had a moments silence 4 all the worlds violence, the world would b a quiet place.",0,1
4,"Time to relax  We've got all sorts of tech goodies up here. Laptops, dvd player, media player, iphones... ah never a dull moment",1,1
4,@notmsn Of course!!!,1,1
0,@Jovi_Jonas tweet me jovi!! I'm soooo tired  xx,0,0
4,#thingsmummysaid - &quot;You Mucky Pup&quot;,1,1
0,@ryohakkai yeah my korean friend said even those romaji formatted lyrics confuse her LOL,0,1
4,"Going clubbing with my cousin!  Fuck the world, Im gonna have FUN tonightttt.",1,1
4,I'm smiling because I lost! I lost 24 lbs. so far! Join the thousands of losers! http://bit.ly/vWDW2,1,0
0,Can't sleep!!  watching the fugitive love that movie,0,0
4,"Part of my Neuroanatomy take-home test.  After this, Iï¿½m... http://tinyurl.com/de8y47",1,1
4,@Danecook that was amazing denver loves you. And you're fucking sexy. And fuck anonymous.,1,1
4,summmmmer days are boringgggggggggggg.  need to get out tommmorow!,1,0
4,@Kennedia Heyyy thanks for the follwing  How are ya?,1,1
4,hanging out with my boyfriend and my friends,1,1
4,"Oh, and I am totally rocking out to the tween-iest of music while packing  Mock if you must but I am a happy camper",1,1
4,@MakeupNewbie we still have half fun Sunday-y u start worrying about tomorrow?LOL let the fun hug u tight-we will see morrow  don u think?,1,0
0,"@Scaraboo  Due to the lack of a universal concierge service, I am sending healing vibes in lieu of chocolates, cake and a decent plonk.",0,0
0,"Instead of thanking me for all of the hard work i did today, my aunt complained about what i did wrong.",0,0
4,Back to the Future 3....LOVE IT!,1,1
4,wewentto the park and ate icecream... what a relaxing day,1,1
4,haoxjakld john ohhh just messaged me back,1,1
4,"@mon_x2 hehe I kno I love that guy xD. Fly boy is like his theme song lol! Too much A! Lmao, I hope he makes it here",1,1
4,@NICOLII Just getting home!!!! Can u believe it?? I had soooo much fun w/ u tonight like always,1,1
4,and we're back!  broadband is so necessary,1,1
0,awesome! a man who had the same voice as my ex called me on the phone and talked about liverpool football. yay. /sarcasm. it made me cry,0,0
0,@thehoodnerd yeah i would switch but i get a nice verizon discount for workin for a verizon company,0,1
4,@brycebirmingham always good to see more Albertans tweeting - I'm north of Edmonton,1,1
0,tonight will be a sleepless night,0,0
0,I have to put in my two weeks notice tomorrow. I'm scared! I don't like to disappoint people.  Advice from the peanut gallery??,0,0
0,I need $500 STAT.,0,0
0,"@jeorgina And then code it. I've looked at many tutorials in the web, but so far haven't found a good one.",0,0
4,.......... and the fix is great.... now going to work on your Visa,1,1
4,"http://twitpic.com/5cjnf - My niece, Jaelah &amp; nephew, Antwan  then . . .",1,1
4,Bustin' a move w/ Phoenix @ The Phoenix!! Dope show,1,1
0,"@LariiTran Me neither.  But half yearlies all week, I need to go. You can not go, can't you? ROFL!",0,0
0,"So sad that the bamboo cloth I was going to make napkins out of has a strange odor, especially when wet. Bummer",0,0
0,WANTS TO GO OUT but has no1 to go out with  !!!!!!!!!!!!!!!!!!!!,0,0
4,B-day party was yesterday!!!! Got tons of great gifts. my real b-day is really in 12 days,1,1
4,Hey Twitter'ers! Im new to this but ive seen my friends do it  Plz Follow me n I'll follow u back &lt;3,1,1
0,Dream: I was having an argument and losing,0,0
4,@TheeUnderclass Im in NC. Its very far from me.,1,0
4,@UnleashedMinds @smaknews @BuzzEdition #NightOwls,1,1
4,@njpaust yes it is cheaper cigarettes. Send me DM with email and will send you details I will post price chart on blog tonight aswell,1,1
4,@azaaza Hi Aza  yes finally Bloxes arrive in Europe!!!,1,1
0,@zokathepuppy what happened?,0,0
0,so sad i wont be riding this weekend,0,0
0,miss you sam,0,0
0,"URGGHHHHH, the self proclaimed &quot;Agile&quot; dev dept is making me write formal design specs and have stake holder meetings b4 writing ANY code",0,0
4,@2kutekreations - something about a stripper? huh?,1,1
0,- Limp Bizkit - Rollin' #SongStuckInMyHeadWhenIWokeUp,0,1
4,"@almightygod I mean... I wouldn't demand it back... would just ask, by complete coincidence, for the same things they took from me...",1,1
0,@katefan26 OMG! Amy mentioned ME!? Oh wow!!! I feel special! As we ALL are!!! I miss Kate and Amy so much!,0,0
4,heute ist extreme-chilling angesagt  Let's rock the boat,1,1
4,@jimmac that's great!  congrats!,1,1
4,Gostei do TweetDeck.,1,1
0,http://twitpic.com/2ye2j - Spanish Orals + French Orals = Bordem + 1 books + 100 sheets,0,1
0,"Promised my guy I'd wait up for his call, but I fell asleep!! Now I won't be able to talk to him until his flight lands.",0,0
4,nothing,1,0
4,Done with our mile! No more conditioning for today.,1,0
0,@meldrum83 you ate a dodgy chicken sandwich from aldi eh? yeuck,0,1
0,my dad has lost my hamster,0,0
4,@carole_hicks Well I'm coming from downtown Dayton. There will be more Twitter meetups I'm sure,1,1
0,Gainesville is super empty,0,0
0,Some people talking alot of bullshit in the morning damnnnnn,0,1
4,watching saturday morning cartoons...,1,1
0,i think twitter has reached its breaking point 2 nite...unless they change this shit back..its basically reached its max...it wuz fun tho,0,0
4,On the plane. Next to a girl this time; it feels like there's more room.,1,1
0,Not all the way up to par today,0,1
0,Rain does not make nice going out weather,0,0
4,@addie_c haha and they played &quot;please don't leave me&quot; after. i don't see the significance in that but i just thought i would mention that,1,0
0,@iAM_AshleyMarie  aw il b there tonight briefly then out to MIGENTE Stef's bday ... gonna b stupid!,0,0
0,My 4 year old son doesn't like The Smiths  &quot;Because that man sings funny&quot;,0,0
0,"trying to write a presentation on ELP for study skills and a web project for I.T. plus unable to update a profile photo, so maddening",0,0
0,@depleteduranium   stinks,0,0
0,@imeantheend aww bb,0,0
0,@gokuls my aunt's husband died of a heart attack on Tuesday.,0,0
4,@ek_artem @PascalPiekar @azuidhof Thank you all. I'm a junkie for the spotlights...,1,1
4,"@Jayme1988 ah, okay getting out of the loop. Actually thought it was something to do with opera ie singing. Bringing it to the public etc",1,1
0,@chas4za Not the piggy bank.,0,0
0,I changed my pic and it damn it still is the same.,0,0
0,delaying the inevitable... Work in half an hour,0,0
0,@SpiritMTNcasino   i looked but your site is info overload  and i cant find it,0,0
0,@aniahime Oh *I* see.  So Anna is allowed to buy you a stuffed Eeyore but I'm not.,0,1
4,@goodsexything glad to knw i can mess ur whole day up &amp; u dnt even knw me  ima baddddd bitchhhhhhhhhhh,1,1
4,But please don't leave me - as I will come back and try to be more relevant when the vacation is over,1,0
